Para Çıkışı;emrah;sandviç;yemek;migros;metro;dükka;Ev;Kişisel;furca;yaser;meran;Barut;Part;Kahve;kira;--;Ekrem abi;Türkmenler;Kap;Tereyağ;Çikolata;maaş;harun;Gün toplam
1 Nis 2026;₺3.150,00;₺1.600,00;;₺1.650,00;;;;;;;;;;;;;;;;;;;;₺6.400
2 Nis 2026;₺1.500,00;₺1.850,00;₺500,00;;;;₺1.000,00;;;;;₺20.000,00;;;;;;;;;;;;₺24.850
3 Nis 2026;₺1.500,00;₺1.600,00;₺1.800,00;;₺4.392,00;₺1.000,00;₺8.000,00;;;;;;;;;;;;;;;;;₺18.292
4 Nis 2026;₺1.100,00;;₺1.300,00;;;;;₺3.000,00;;;;;;;;;;;;;;;;₺5.400
5 Nis 2026;₺1.100,00;;;;;;;;;;;;₺2.500,00;;;;;;;;;;;₺3.600
6 Nis 2026;₺1.000,00;₺1.400,00;₺400,00;₺320,00;;₺15.750,00;₺7.000,00;;;;₺8.000,00;;₺1.000,00;₺69.285,00;;;₺4.950,00;;;;;;;₺109.105
7 Nis 2026;₺2.200,00;₺1.500,00;;₺750,00;;₺1.000,00;;;;;;;;;;;;;;;;;;₺5.450
8 Nis 2026;;;₺432,00;;;;₺5.000,00;;;;;;;;;;;;₺24.547,00;;;;;₺29.979
9 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
10 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
11 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
12 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
13 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
14 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
15 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
16 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
17 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
18 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
19 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
20 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
21 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
22 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
23 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
24 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
25 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
26 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
27 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
28 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
29 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
30 Nis 2026;;;;;;;;;;;;;;;;;;;;;;;;₺0
;;;;;;;;;;;;;;;;;;;;;;;;₺0
₺203.076,00;₺11.550;₺7.950;₺4.432;₺2.720;₺4.392;₺17.750;₺21.000;₺3.000;₺0;₺0;₺8.000;₺20.000;₺3.500;₺69.285;₺0;₺0;₺4.950;₺0;₺24.547;₺0;₺0;₺0;₺0;₺203.076